date,store_id,region,city,store_type,category,product,channel,customer_segment,units_sold,unit_price,discount_rate,revenue,cost,profit,returns,nps_score
2025-01-08,S012,北海道,札幌,旗艦,家電,冷蔵庫,電話,プレミアム会員,39,128000,0.2,3993600,2895360,1098240,1,34.6
2025-01-08,S012,北海道,札幌,旗艦,衣料,ダウンジャケット,電話,法人,51,18000,0,918000,459000,459000,0,29.5
2025-01-08,S012,北海道,札幌,旗艦,衣料,Tシャツ,EC,会員,30,2400,0.2,57600,30240,27360,0,14.4
2025-01-08,S012,北海道,札幌,旗艦,日用品,洗剤,電話,法人,33,680,0,22440,10098,12342,0,28.0
2025-01-08,S021,東北,仙台,旗艦,食品,コーヒー豆,EC,会員,31,1280,0.15,33728,15872,17856,0,42.1
2025-01-08,S021,東北,仙台,旗艦,家電,冷蔵庫,EC,法人,32,128000,0.05,3891200,2375680,1515520,0,14.2
2025-01-08,S021,東北,仙台,旗艦,衣料,ダウンジャケット,電話,一般,57,18000,0.2,820800,513000,307800,2,19.3
2025-01-08,S021,東北,仙台,旗艦,食品,プレミアム米,EC,一般,49,4800,0.05,223440,112896,110544,0,48.0
2025-01-08,S021,東北,仙台,旗艦,衣料,Tシャツ,EC,会員,20,2400,0.05,45600,20160,25440,0,42.6
2025-01-08,S022,東北,仙台,小型,食品,プレミアム米,電話,法人,9,4800,0,43200,20736,22464,0,44.7
2025-01-08,S022,東北,仙台,小型,食品,コーヒー豆,EC,一般,9,1280,0,11520,4608,6912,0,24.9
2025-01-08,S022,東北,仙台,小型,衣料,ダウンジャケット,EC,会員,13,18000,0,234000,117000,117000,0,19.5
2025-01-08,S031,関東,東京,標準,日用品,ティッシュ,電話,一般,23,420,0,9660,5313,4347,0,34.5
2025-01-08,S031,関東,東京,標準,食品,プレミアム米,電話,一般,22,4800,0,105600,50688,54912,0,38.9
2025-01-08,S031,関東,東京,標準,家電,テレビ,店頭,会員,14,95000,0.05,1263500,731500,532000,0,16.5
2025-01-08,S031,関東,東京,標準,家電,エアコン,店頭,法人,18,85000,0,1530000,948600,581400,0,5.7
2025-01-08,S031,関東,東京,標準,日用品,洗剤,電話,一般,11,680,0.2,5984,3366,2618,1,1.9
2025-01-08,S031,関東,東京,標準,食品,コーヒー豆,店頭,一般,29,1280,0.05,35264,14848,20416,0,14.9
2025-01-08,S032,関東,東京,旗艦,日用品,洗剤,EC,一般,51,680,0.2,27744,15606,12138,2,27.9
2025-01-08,S032,関東,東京,旗艦,家電,冷蔵庫,EC,法人,37,128000,0.15,4025600,2746880,1278720,0,17.3
2025-01-08,S032,関東,東京,旗艦,食品,コーヒー豆,EC,一般,59,1280,0.05,71744,30208,41536,2,25.8
2025-01-08,S041,中部,名古屋,旗艦,家電,テレビ,電話,法人,18,95000,0.1,1539000,940500,598500,0,27.3
2025-01-08,S041,中部,名古屋,旗艦,食品,プレミアム米,店頭,プレミアム会員,63,4800,0.05,287280,145152,142128,1,58.4
2025-01-08,S041,中部,名古屋,旗艦,家電,冷蔵庫,電話,法人,32,128000,0,4096000,2375680,1720320,1,33.4
2025-01-08,S041,中部,名古屋,旗艦,食品,コーヒー豆,EC,プレミアム会員,47,1280,0,60160,24064,36096,2,32.3
2025-01-08,S041,中部,名古屋,旗艦,日用品,ティッシュ,EC,一般,32,420,0,13440,7392,6048,0,27.4
2025-01-08,S041,中部,名古屋,旗艦,衣料,Tシャツ,店頭,法人,30,2400,0.15,61200,30240,30960,0,17.3
2025-01-08,S042,中部,名古屋,旗艦,家電,冷蔵庫,EC,会員,34,128000,0.05,4134400,2524160,1610240,1,19.6
2025-01-08,S042,中部,名古屋,旗艦,日用品,ティッシュ,電話,プレミアム会員,36,420,0,15120,8316,6804,0,35.9
2025-01-08,S042,中部,名古屋,旗艦,衣料,Tシャツ,EC,会員,49,2400,0,117600,49392,68208,1,28.7
2025-01-08,S051,関西,大阪,小型,日用品,洗剤,EC,プレミアム会員,2,680,0,1360,612,748,0,36.3
2025-01-08,S051,関西,大阪,小型,衣料,Tシャツ,EC,会員,9,2400,0,21600,9072,12528,1,25.1
2025-01-08,S051,関西,大阪,小型,食品,コーヒー豆,電話,プレミアム会員,18,1280,0.15,19584,9216,10368,1,39.1
2025-01-08,S051,関西,大阪,小型,衣料,ダウンジャケット,EC,一般,13,18000,0.05,222300,117000,105300,0,19.1
2025-01-08,S052,関西,大阪,旗艦,日用品,ティッシュ,店頭,法人,41,420,0.05,16359,9471,6888,2,37.6
2025-01-08,S052,関西,大阪,旗艦,衣料,ダウンジャケット,店頭,会員,53,18000,0,954000,477000,477000,2,37.8
2025-01-08,S052,関西,大阪,旗艦,家電,エアコン,電話,法人,44,85000,0.1,3366000,2318800,1047200,0,20.5
2025-01-08,S061,中国,広島,小型,衣料,ダウンジャケット,電話,一般,7,18000,0.2,100800,63000,37800,0,32.2
2025-01-08,S061,中国,広島,小型,衣料,Tシャツ,電話,一般,12,2400,0,28800,12096,16704,0,45.2
2025-01-08,S061,中国,広島,小型,家電,テレビ,店頭,一般,6,95000,0.05,541500,313500,228000,0,27.8
2025-01-08,S061,中国,広島,小型,日用品,ティッシュ,電話,プレミアム会員,12,420,0.15,4284,2772,1512,0,41.4
2025-01-08,S061,中国,広島,小型,日用品,洗剤,店頭,プレミアム会員,10,680,0.15,5780,3060,2720,0,47.6
2025-01-08,S061,中国,広島,小型,食品,プレミアム米,店頭,会員,8,4800,0.15,32640,18432,14208,0,37.6
2025-01-08,S062,中国,広島,小型,家電,冷蔵庫,電話,プレミアム会員,6,128000,0,768000,445439,322561,0,36.1
2025-01-08,S062,中国,広島,小型,家電,エアコン,電話,法人,3,85000,0.05,242250,158100,84150,0,31.7
2025-01-08,S062,中国,広島,小型,衣料,Tシャツ,EC,プレミアム会員,10,2400,0,24000,10080,13920,0,67.2
2025-01-08,S062,中国,広島,小型,家電,テレビ,電話,一般,8,95000,0.2,608000,418000,190000,0,21.6
2025-01-08,S071,九州,福岡,小型,家電,テレビ,電話,法人,11,95000,0.1,940500,574750,365750,0,9.7
2025-01-08,S071,九州,福岡,小型,衣料,ダウンジャケット,店頭,法人,13,18000,0,234000,117000,117000,0,35.8
2025-01-08,S071,九州,福岡,小型,日用品,ティッシュ,店頭,会員,7,420,0,2940,1617,1323,1,23.7
2025-01-08,S072,九州,福岡,旗艦,衣料,ダウンジャケット,EC,プレミアム会員,33,18000,0,594000,297000,297000,1,42.7
2025-01-08,S072,九州,福岡,旗艦,家電,冷蔵庫,電話,一般,31,128000,0.05,3769600,2301440,1468160,0,43.7
2025-01-08,S072,九州,福岡,旗艦,家電,テレビ,電話,法人,44,95000,0.15,3553000,2299000,1254000,0,31.4
2025-01-15,S011,北海道,札幌,小型,衣料,Tシャツ,店頭,一般,15,2400,0,36000,15120,20880,0,27.4
2025-01-15,S011,北海道,札幌,小型,家電,テレビ,店頭,法人,7,95000,0,665000,365750,299250,0,52.7
2025-01-15,S011,北海道,札幌,小型,衣料,ダウンジャケット,店頭,法人,15,18000,0,270000,135000,135000,0,10.9
2025-01-15,S011,北海道,札幌,小型,日用品,洗剤,電話,プレミアム会員,10,680,0.05,6460,3060,3400,1,16.0
2025-01-15,S011,北海道,札幌,小型,食品,コーヒー豆,店頭,法人,7,1280,0.1,8064,3584,4480,0,5.4
2025-01-15,S012,北海道,札幌,旗艦,日用品,ティッシュ,電話,プレミアム会員,38,420,0.2,12768,8778,3990,2,45.3
2025-01-15,S012,北海道,札幌,旗艦,食品,プレミアム米,電話,法人,48,4800,0.05,218880,110592,108288,0,21.4
2025-01-15,S012,北海道,札幌,旗艦,家電,テレビ,電話,法人,52,95000,0.05,4693000,2717000,1976000,2,20.1
2025-01-15,S021,東北,仙台,旗艦,食品,プレミアム米,店頭,プレミアム会員,39,4800,0.2,149760,89856,59904,0,18.7
2025-01-15,S021,東北,仙台,旗艦,日用品,洗剤,電話,会員,64,680,0.05,41344,19584,21760,1,28.6
2025-01-15,S021,東北,仙台,旗艦,衣料,Tシャツ,電話,プレミアム会員,60,2400,0.05,136800,60480,76320,0,66.4
2025-01-15,S021,東北,仙台,旗艦,衣料,ダウンジャケット,店頭,会員,59,18000,0.05,1008900,531000,477900,3,7.0
2025-01-15,S022,東北,仙台,小型,衣料,ダウンジャケット,電話,法人,7,18000,0.2,100800,63000,37800,0,23.2
2025-01-15,S022,東北,仙台,小型,日用品,ティッシュ,EC,法人,6,420,0.2,2016,1386,630,0,25.8
2025-01-15,S022,東北,仙台,小型,家電,テレビ,店頭,プレミアム会員,14,95000,0.05,1263500,731500,532000,0,65.1
2025-01-15,S031,関東,東京,標準,衣料,ダウンジャケット,EC,一般,22,18000,0,396000,198000,198000,0,33.6
2025-01-15,S031,関東,東京,標準,家電,テレビ,EC,プレミアム会員,17,95000,0.05,1534250,888250,646000,0,25.5
2025-01-15,S031,関東,東京,標準,食品,コーヒー豆,店頭,会員,17,1280,0,21760,8704,13056,0,22.5
2025-01-15,S032,関東,東京,旗艦,衣料,ダウンジャケット,電話,プレミアム会員,26,18000,0.2,374400,234000,140400,0,35.4
2025-01-15,S032,関東,東京,旗艦,家電,テレビ,電話,会員,42,95000,0,3990000,2194500,1795500,0,34.0
2025-01-15,S032,関東,東京,旗艦,家電,冷蔵庫,電話,プレミアム会員,31,128000,0,3968000,2301440,1666560,0,35.2
2025-01-15,S032,関東,東京,旗艦,日用品,洗剤,EC,法人,42,680,0,28560,12852,15708,0,45.6
2025-01-15,S041,中部,名古屋,旗艦,日用品,ティッシュ,EC,一般,23,420,0.15,8211,5313,2898,0,56.0
2025-01-15,S041,中部,名古屋,旗艦,家電,エアコン,電話,法人,35,85000,0.2,2380000,1844500,535500,1,24.4
2025-01-15,S041,中部,名古屋,旗艦,食品,プレミアム米,店頭,プレミアム会員,41,4800,0,196800,94464,102336,1,36.6
2025-01-15,S041,中部,名古屋,旗艦,食品,コーヒー豆,電話,会員,22,1280,0.15,23936,11264,12672,1,39.7
2025-01-15,S041,中部,名古屋,旗艦,日用品,洗剤,店頭,プレミアム会員,40,680,0,27200,12240,14960,0,44.4
2025-01-15,S042,中部,名古屋,旗艦,食品,コーヒー豆,電話,プレミアム会員,34,1280,0.1,39168,17408,21760,0,44.9
2025-01-15,S042,中部,名古屋,旗艦,食品,プレミアム米,店頭,プレミアム会員,64,4800,0.2,245760,147456,98304,0,38.2
2025-01-15,S042,中部,名古屋,旗艦,家電,冷蔵庫,店頭,法人,63,128000,0,8064000,4677120,3386880,2,54.2
2025-01-15,S042,中部,名古屋,旗艦,衣料,ダウンジャケット,電話,法人,65,18000,0,1170000,585000,585000,0,40.1
2025-01-15,S042,中部,名古屋,旗艦,衣料,Tシャツ,EC,一般,50,2400,0.05,114000,50400,63600,0,44.7
2025-01-15,S051,関西,大阪,小型,食品,プレミアム米,EC,一般,4,4800,0,19200,9216,9984,0,37.3
2025-01-15,S051,関西,大阪,小型,食品,コーヒー豆,店頭,法人,8,1280,0.15,8704,4096,4608,0,41.6
2025-01-15,S051,関西,大阪,小型,家電,エアコン,店頭,一般,12,85000,0.05,969000,632400,336600,0,36.5
2025-01-15,S051,関西,大阪,小型,衣料,ダウンジャケット,電話,会員,12,18000,0.05,205200,108000,97200,0,35.1
2025-01-15,S051,関西,大阪,小型,家電,冷蔵庫,電話,法人,5,128000,0.05,608000,371200,236800,0,17.2
2025-01-15,S052,関西,大阪,旗艦,日用品,ティッシュ,EC,会員,21,420,0.2,7056,4851,2205,0,55.7
2025-01-15,S052,関西,大阪,旗艦,家電,エアコン,EC,プレミアム会員,48,85000,0,4080000,2529600,1550400,1,66.2
2025-01-15,S052,関西,大阪,旗艦,食品,コーヒー豆,店頭,会員,32,1280,0.15,34816,16384,18432,0,5.4
2025-01-15,S052,関西,大阪,旗艦,家電,テレビ,店頭,プレミアム会員,40,95000,0.1,3420000,2090000,1330000,1,51.3
2025-01-15,S052,関西,大阪,旗艦,家電,冷蔵庫,電話,会員,61,128000,0.1,7027200,4528640,2498560,1,53.7
2025-01-15,S052,関西,大阪,旗艦,日用品,洗剤,EC,会員,43,680,0,29240,13158,16082,0,34.2
2025-01-15,S061,中国,広島,小型,衣料,Tシャツ,店頭,一般,9,2400,0,21600,9072,12528,1,32.0
2025-01-15,S061,中国,広島,小型,日用品,ティッシュ,店頭,プレミアム会員,12,420,0,5040,2772,2268,0,44.2
2025-01-15,S061,中国,広島,小型,食品,プレミアム米,電話,一般,6,4800,0.05,27360,13824,13536,0,33.6
2025-01-15,S061,中国,広島,小型,家電,冷蔵庫,電話,一般,7,128000,0.1,806400,519679,286721,0,50.2
2025-01-15,S062,中国,広島,小型,衣料,ダウンジャケット,EC,一般,12,18000,0.05,205200,108000,97200,0,17.4
2025-01-15,S062,中国,広島,小型,家電,エアコン,店頭,プレミアム会員,9,85000,0,765000,474300,290700,0,33.7
2025-01-15,S062,中国,広島,小型,衣料,Tシャツ,電話,プレミアム会員,8,2400,0.05,18240,8064,10176,1,44.5
2025-01-15,S062,中国,広島,小型,日用品,洗剤,EC,法人,13,680,0.2,7072,3978,3094,1,16.1
2025-01-15,S062,中国,広島,小型,食品,コーヒー豆,電話,会員,4,1280,0.05,4864,2048,2816,0,32.6
2025-01-15,S071,九州,福岡,小型,衣料,ダウンジャケット,EC,法人,10,18000,0,180000,90000,90000,0,24.7
2025-01-15,S071,九州,福岡,小型,食品,プレミアム米,店頭,一般,6,4800,0,28800,13824,14976,0,38.2
2025-01-15,S071,九州,福岡,小型,日用品,洗剤,EC,会員,6,680,0.1,3672,1836,1836,0,13.5
2025-01-15,S071,九州,福岡,小型,食品,コーヒー豆,EC,プレミアム会員,8,1280,0.2,8192,4096,4096,0,27.8
2025-01-15,S071,九州,福岡,小型,家電,エアコン,電話,一般,13,85000,0,1105000,685100,419900,0,41.4
2025-01-15,S072,九州,福岡,旗艦,衣料,ダウンジャケット,EC,プレミアム会員,52,18000,0,936000,468000,468000,1,29.4
2025-01-15,S072,九州,福岡,旗艦,日用品,洗剤,EC,一般,26,680,0.15,15028,7956,7072,0,29.2
2025-01-15,S072,九州,福岡,旗艦,食品,プレミアム米,電話,プレミアム会員,47,4800,0,225600,108288,117312,0,51.1
2025-01-15,S072,九州,福岡,旗艦,家電,エアコン,店頭,法人,57,85000,0,4845000,3003900,1841100,1,42.4
2025-01-22,S011,北海道,札幌,小型,食品,プレミアム米,電話,プレミアム会員,12,4800,0.2,46080,27648,18432,1,39.2
2025-01-22,S011,北海道,札幌,小型,衣料,ダウンジャケット,店頭,会員,13,18000,0.15,198900,117000,81900,1,41.3
2025-01-22,S011,北海道,札幌,小型,家電,テレビ,EC,法人,11,95000,0.1,940500,574750,365750,0,33.4
2025-01-22,S011,北海道,札幌,小型,家電,冷蔵庫,電話,一般,9,128000,0.15,979200,668160,311040,0,24.0
2025-01-22,S011,北海道,札幌,小型,衣料,Tシャツ,電話,プレミアム会員,7,2400,0,16800,7056,9744,0,79.0
2025-01-22,S011,北海道,札幌,小型,日用品,ティッシュ,店頭,一般,12,420,0.2,4032,2772,1260,2,36.0
2025-01-22,S012,北海道,札幌,旗艦,家電,冷蔵庫,店頭,会員,46,128000,0.05,5593600,3415039,2178561,0,28.2
2025-01-22,S012,北海道,札幌,旗艦,家電,エアコン,電話,プレミアム会員,61,85000,0,5185000,3214700,1970300,2,32.7
2025-01-22,S012,北海道,札幌,旗艦,日用品,洗剤,店頭,プレミアム会員,45,680,0.1,27540,13770,13770,0,50.3
2025-01-22,S012,北海道,札幌,旗艦,食品,コーヒー豆,電話,法人,36,1280,0,46080,18432,27648,1,43.7
2025-01-22,S012,北海道,札幌,旗艦,食品,プレミアム米,EC,プレミアム会員,65,4800,0,312000,149760,162240,0,47.2
2025-01-22,S021,東北,仙台,旗艦,食品,プレミアム米,EC,会員,55,4800,0.1,237600,126720,110880,1,4.0
2025-01-22,S021,東北,仙台,旗艦,家電,冷蔵庫,EC,プレミアム会員,38,128000,0.15,4134400,2821120,1313280,2,40.5
2025-01-22,S021,東北,仙台,旗艦,日用品,洗剤,店頭,会員,47,680,0,31960,14382,17578,1,13.8
2025-01-22,S021,東北,仙台,旗艦,家電,テレビ,電話,一般,27,95000,0,2565000,1410750,1154250,1,24.9
2025-01-22,S021,東北,仙台,旗艦,食品,コーヒー豆,EC,法人,29,1280,0.15,31552,14848,16704,0,18.9
2025-01-22,S021,東北,仙台,旗艦,衣料,ダウンジャケット,電話,プレミアム会員,31,18000,0,558000,279000,279000,0,50.0
2025-01-22,S022,東北,仙台,小型,日用品,ティッシュ,EC,法人,9,420,0.2,3024,2079,945,0,26.0
2025-01-22,S022,東北,仙台,小型,家電,エアコン,店頭,法人,14,85000,0.05,1130500,737800,392700,0,15.6
2025-01-22,S022,東北,仙台,小型,家電,テレビ,電話,一般,4,95000,0.15,323000,209000,114000,0,36.2
2025-01-22,S022,東北,仙台,小型,衣料,Tシャツ,電話,会員,14,2400,0,33600,14112,19488,0,36.7
2025-01-22,S022,東北,仙台,小型,衣料,ダウンジャケット,EC,一般,9,18000,0,162000,81000,81000,0,20.3
2025-01-22,S031,関東,東京,標準,食品,コーヒー豆,EC,プレミアム会員,2,1280,0.15,2176,1024,1152,0,32.8
2025-01-22,S031,関東,東京,標準,衣料,Tシャツ,電話,プレミアム会員,26,2400,0.15,53040,26208,26832,0,38.1
2025-01-22,S031,関東,東京,標準,家電,テレビ,電話,会員,25,95000,0,2375000,1306250,1068750,1,38.7
2025-01-22,S031,関東,東京,標準,日用品,洗剤,EC,プレミアム会員,32,680,0.05,20672,9792,10880,0,58.0
2025-01-22,S032,関東,東京,旗艦,日用品,ティッシュ,EC,会員,53,420,0.15,18921,12243,6678,0,2.2
2025-01-22,S032,関東,東京,旗艦,食品,プレミアム米,電話,一般,32,4800,0,153600,73728,79872,0,40.2
2025-01-22,S032,関東,東京,旗艦,食品,コーヒー豆,店頭,プレミアム会員,41,1280,0.2,41984,20992,20992,0,45.7
2025-01-22,S041,中部,名古屋,旗艦,家電,テレビ,電話,一般,27,95000,0.1,2308500,1410750,897750,0,37.9
2025-01-22,S041,中部,名古屋,旗艦,家電,冷蔵庫,店頭,会員,48,128000,0.2,4915200,3563519,1351681,0,14.3
2025-01-22,S041,中部,名古屋,旗艦,衣料,Tシャツ,店頭,法人,54,2400,0.15,110160,54432,55728,1,31.0
2025-01-22,S041,中部,名古屋,旗艦,家電,エアコン,EC,法人,52,85000,0,4420000,2740400,1679600,0,27.8
2025-01-22,S042,中部,名古屋,旗艦,日用品,洗剤,EC,法人,27,680,0,18360,8262,10098,0,38.8
2025-01-22,S042,中部,名古屋,旗艦,食品,コーヒー豆,店頭,プレミアム会員,20,1280,0,25600,10240,15360,0,26.1
2025-01-22,S042,中部,名古屋,旗艦,衣料,ダウンジャケット,電話,一般,40,18000,0,720000,360000,360000,0,25.5
2025-01-22,S042,中部,名古屋,旗艦,日用品,ティッシュ,EC,法人,59,420,0.1,22302,13629,8673,1,40.3
2025-01-22,S042,中部,名古屋,旗艦,衣料,Tシャツ,店頭,法人,64,2400,0.05,145920,64512,81408,0,43.4
2025-01-22,S042,中部,名古屋,旗艦,食品,プレミアム米,店頭,法人,44,4800,0,211200,101376,109824,0,32.0
2025-01-22,S051,関西,大阪,小型,食品,コーヒー豆,店頭,プレミアム会員,12,1280,0.2,12288,6144,6144,0,57.1
