用語,読み,説明,カテゴリ
S3,エススリー,Amazon Simple Storage Serviceの略。AWSが提供するオブジェクトストレージで、ほぼ無制限にデータを保存できる。,インフラ
データレイク,データレイク,構造化・非構造化を問わず大量のデータを生のまま一箇所に蓄積する保管基盤。分析時に必要に応じてスキーマを適用する。,データ
ブルーグリーンデプロイ,ブルーグリーンデプロイ,本番環境を2系統(Blue/Green)用意し、新版をGreen環境に配置後ルーティングを切り替える方式。ダウンタイムなくリリースできる。,インフラ
スクラム,スクラム,アジャイル開発フレームワークの一つ。PO・SM・開発チームの3役で構成し、スプリント単位で成果物を届ける。,マネジメント
JWT,ジェイダブリューティー,JSON Web Tokenの略。JSON形式のペイロードをBase64エンコードし署名を付与したトークン。APIの認証・認可に多用される。,セキュリティ
メッセージキュー,メッセージキュー,非同期処理のためにメッセージを一時的に蓄えるミドルウェア。SQSやRabbitMQが代表的。処理の疎結合化に使う。,インフラ
NoSQL,ノーエスキューエル,RDB以外のデータベースの総称。ドキュメント型(MongoDB)やKey-Value型(DynamoDB)など用途に応じた種類がある。,データ
SIEM,シーム,"Security Information and Event Managementの略。セキュリティログを集約・分析し、インシデントの検知と対応を支援する。",セキュリティ
リファクタリング,リファクタリング,外部から見た動作を変えずにコード内部の構造を整理すること。可読性と保守性の向上が目的。,開発
ペアプログラミング,ペアプログラミング,2人1組でコードを書く開発手法。ドライバーがコードを打ち、ナビゲーターがレビュー・方針決定を行う。,マネジメント
A/Bテスト,エービーテスト,2パターンのUIや機能を異なるユーザーグループに提供し、どちらが成果指標を改善するか実データで比較検証する手法。,開発
ECS,イーシーエス,Elastic Container Serviceの略。AWSのコンテナオーケストレーションサービス。Fargate起動タイプならサーバー管理不要。,インフラ
VPN,ブイピーエヌ,Virtual Private Networkの略。公衆回線上に暗号化されたトンネルを構築し、安全なリモートアクセスを実現する技術。,セキュリティ
DWH,ディーダブリューエイチ,Data Warehouseの略。複数の業務システムから集約したデータを分析向けに構造化して格納するデータ基盤。,データ
CI,シーアイ,Continuous Integrationの略。コード変更を共有リポジトリに頻繁に統合し、自動テストで品質を担保する開発プラクティス。,開発
MTTR,エムティーティーアール,Mean Time To Recoveryの略。障害発生から復旧までの平均時間。システムの回復力を測る指標として使う。,マネジメント
コンテナレジストリ,コンテナレジストリ,Dockerイメージを保存・配布するサービス。ECR(AWS)やGHCR(GitHub)が代表例。CI/CDパイプラインから参照する。,インフラ
OpenTelemetry,オープンテレメトリ,トレース・メトリクス・ログを統一的に収集するオブザーバビリティのオープン標準。ベンダーロックインを避けられる。,開発
プルリクエスト,プルリクエスト,変更内容をレビューしてからメインブランチに統合するGit運用の仕組み。コード品質とナレッジ共有に寄与する。,開発
ロードバランサー,ロードバランサー,受信トラフィックを複数のサーバーに分散させる装置またはサービス。ALB(AWS)はHTTP/HTTPS通信のルーティングに特化。,インフラ
SOC,ソック,Security Operations Centerの略。セキュリティ監視・インシデント対応を専門に行う組織または拠点。24時間365日体制で運用する。,セキュリティ
BI,ビーアイ,Business Intelligenceの略。蓄積データを可視化・分析して経営判断に活用する技術や手法の総称。Tableau・Lookerが代表的。,データ
KPT,ケーピーティー,"Keep(継続)・Problem(問題)・Try(改善策)の3軸でふりかえるレトロスペクティブの手法。スプリント終了時に実施する。",マネジメント
APIゲートウェイ,エーピーアイゲートウェイ,複数のバックエンドサービスへのリクエストを集約・認証・レート制限する入口。Amazon API Gatewayが代表的。,インフラ
データパイプライン,データパイプライン,データの収集から加工・蓄積・配信までを自動化した処理の流れ。Apache AirflowやStep Functionsで構築する。,データ
ペネトレーションテスト,ペネトレーションテスト,疑似攻撃を行いシステムの脆弱性を検証するセキュリティ試験。外部の専門会社に依頼するケースが多い。,セキュリティ
